commodityName,stat_year,market_month,volume,value,unit value,Textbox12,Textbox16
"Oranges, import value and volume history by market year (Fresh)",2024,Nov,"15,577","7,121,646",0.46,"15,577","7,121,646"
"Oranges, import value and volume history by market year (Fresh)",2024,Dec,NA,NA,NA,"15,577","7,121,646"
"Oranges, import value and volume history by market year (Fresh)",2024,Jan,NA,NA,NA,"15,577","7,121,646"
"Oranges, import value and volume history by market year (Fresh)",2024,Feb,NA,NA,NA,"15,577","7,121,646"
"Oranges, import value and volume history by market year (Fresh)",2024,Mar,NA,NA,NA,"15,577","7,121,646"
"Oranges, import value and volume history by market year (Fresh)",2024,Apr,NA,NA,NA,"15,577","7,121,646"
"Oranges, import value and volume history by market year (Fresh)",2024,May,NA,NA,NA,"15,577","7,121,646"
"Oranges, import value and volume history by market year (Fresh)",2024,Jun,NA,NA,NA,"15,577","7,121,646"
"Oranges, import value and volume history by market year (Fresh)",2024,Jul,NA,NA,NA,"15,577","7,121,646"
"Oranges, import value and volume history by market year (Fresh)",2024,Aug,NA,NA,NA,"15,577","7,121,646"
"Oranges, import value and volume history by market year (Fresh)",2024,Sep,NA,NA,NA,"15,577","7,121,646"
"Oranges, import value and volume history by market year (Fresh)",2024,Oct,NA,NA,NA,"15,577","7,121,646"
"Oranges, import value and volume history by market year (Fresh)",2023,Nov,"13,254","5,799,114",0.44,"516,051","259,481,798"
"Oranges, import value and volume history by market year (Fresh)",2023,Dec,"15,644","5,529,184",0.35,"516,051","259,481,798"
"Oranges, import value and volume history by market year (Fresh)",2023,Jan,"18,410","7,384,047",0.4,"516,051","259,481,798"
"Oranges, import value and volume history by market year (Fresh)",2023,Feb,"21,247","8,303,350",0.39,"516,051","259,481,798"
"Oranges, import value and volume history by market year (Fresh)",2023,Mar,"23,969","8,230,813",0.34,"516,051","259,481,798"
"Oranges, import value and volume history by market year (Fresh)",2023,Apr,"23,787","9,647,556",0.41,"516,051","259,481,798"
"Oranges, import value and volume history by market year (Fresh)",2023,May,"25,400","11,662,001",0.46,"516,051","259,481,798"
"Oranges, import value and volume history by market year (Fresh)",2023,Jun,"26,538","13,959,129",0.53,"516,051","259,481,798"
"Oranges, import value and volume history by market year (Fresh)",2023,Jul,"104,545","54,714,212",0.52,"516,051","259,481,798"
"Oranges, import value and volume history by market year (Fresh)",2023,Aug,"116,158","63,586,797",0.55,"516,051","259,481,798"
"Oranges, import value and volume history by market year (Fresh)",2023,Sep,"58,916","33,174,968",0.56,"516,051","259,481,798"
"Oranges, import value and volume history by market year (Fresh)",2023,Oct,"68,184","37,490,627",0.55,"516,051","259,481,798"
"Oranges, import value and volume history by market year (Fresh)",2022,Nov,"14,160","5,111,511",0.36,"472,532","220,693,724"
"Oranges, import value and volume history by market year (Fresh)",2022,Dec,"19,987","7,269,553",0.36,"472,532","220,693,724"
"Oranges, import value and volume history by market year (Fresh)",2022,Jan,"19,579","7,055,957",0.36,"472,532","220,693,724"
"Oranges, import value and volume history by market year (Fresh)",2022,Feb,"17,499","5,907,952",0.34,"472,532","220,693,724"
"Oranges, import value and volume history by market year (Fresh)",2022,Mar,"21,142","6,821,211",0.32,"472,532","220,693,724"
"Oranges, import value and volume history by market year (Fresh)",2022,Apr,"21,726","7,166,667",0.33,"472,532","220,693,724"
"Oranges, import value and volume history by market year (Fresh)",2022,May,"22,218","7,364,703",0.33,"472,532","220,693,724"
"Oranges, import value and volume history by market year (Fresh)",2022,Jun,"23,799","8,875,287",0.37,"472,532","220,693,724"
"Oranges, import value and volume history by market year (Fresh)",2022,Jul,"79,334","41,141,699",0.52,"472,532","220,693,724"
"Oranges, import value and volume history by market year (Fresh)",2022,Aug,"114,204","60,478,023",0.53,"472,532","220,693,724"
"Oranges, import value and volume history by market year (Fresh)",2022,Sep,"66,738","35,409,230",0.53,"472,532","220,693,724"
"Oranges, import value and volume history by market year (Fresh)",2022,Oct,"52,146","28,091,931",0.54,"472,532","220,693,724"
"Oranges, import value and volume history by market year (Fresh)",2021,Nov,"24,975","10,654,414",0.43,"519,189","236,062,674"
"Oranges, import value and volume history by market year (Fresh)",2021,Dec,"19,056","6,593,677",0.35,"519,189","236,062,674"
"Oranges, import value and volume history by market year (Fresh)",2021,Jan,"20,000","6,208,503",0.31,"519,189","236,062,674"
"Oranges, import value and volume history by market year (Fresh)",2021,Feb,"19,639","6,254,939",0.32,"519,189","236,062,674"
"Oranges, import value and volume history by market year (Fresh)",2021,Mar,"28,042","9,092,306",0.32,"519,189","236,062,674"
"Oranges, import value and volume history by market year (Fresh)",2021,Apr,"33,522","12,219,904",0.36,"519,189","236,062,674"
"Oranges, import value and volume history by market year (Fresh)",2021,May,"32,111","11,792,101",0.37,"519,189","236,062,674"
"Oranges, import value and volume history by market year (Fresh)",2021,Jun,"33,059","14,722,021",0.45,"519,189","236,062,674"
"Oranges, import value and volume history by market year (Fresh)",2021,Jul,"73,130","37,148,535",0.51,"519,189","236,062,674"
"Oranges, import value and volume history by market year (Fresh)",2021,Aug,"119,208","61,505,094",0.52,"519,189","236,062,674"
"Oranges, import value and volume history by market year (Fresh)",2021,Sep,"59,606","31,314,557",0.53,"519,189","236,062,674"
"Oranges, import value and volume history by market year (Fresh)",2021,Oct,"56,841","28,556,623",0.5,"519,189","236,062,674"
"Oranges, import value and volume history by market year (Fresh)",2020,Nov,"17,296","6,850,879",0.4,"480,385","209,355,170"
"Oranges, import value and volume history by market year (Fresh)",2020,Dec,"14,877","3,735,819",0.25,"480,385","209,355,170"
"Oranges, import value and volume history by market year (Fresh)",2020,Jan,"14,826","3,458,546",0.23,"480,385","209,355,170"
"Oranges, import value and volume history by market year (Fresh)",2020,Feb,"16,327","3,381,800",0.21,"480,385","209,355,170"
"Oranges, import value and volume history by market year (Fresh)",2020,Mar,"23,321","5,317,967",0.23,"480,385","209,355,170"
"Oranges, import value and volume history by market year (Fresh)",2020,Apr,"20,101","4,878,960",0.24,"480,385","209,355,170"
"Oranges, import value and volume history by market year (Fresh)",2020,May,"23,318","5,647,352",0.24,"480,385","209,355,170"
"Oranges, import value and volume history by market year (Fresh)",2020,Jun,"16,884","5,259,997",0.31,"480,385","209,355,170"
"Oranges, import value and volume history by market year (Fresh)",2020,Jul,"70,628","36,314,643",0.51,"480,385","209,355,170"
"Oranges, import value and volume history by market year (Fresh)",2020,Aug,"102,722","52,509,030",0.51,"480,385","209,355,170"
"Oranges, import value and volume history by market year (Fresh)",2020,Sep,"90,044","46,658,498",0.52,"480,385","209,355,170"
"Oranges, import value and volume history by market year (Fresh)",2020,Oct,"70,042","35,341,679",0.5,"480,385","209,355,170"
"Oranges, import value and volume history by market year (Fresh)",2019,Nov,"9,407","1,963,885",0.21,"441,266","184,289,296"
"Oranges, import value and volume history by market year (Fresh)",2019,Dec,"12,061","2,328,498",0.19,"441,266","184,289,296"
"Oranges, import value and volume history by market year (Fresh)",2019,Jan,"18,255","4,171,784",0.23,"441,266","184,289,296"
"Oranges, import value and volume history by market year (Fresh)",2019,Feb,"19,560","4,322,885",0.22,"441,266","184,289,296"
"Oranges, import value and volume history by market year (Fresh)",2019,Mar,"20,059","4,248,077",0.21,"441,266","184,289,296"
"Oranges, import value and volume history by market year (Fresh)",2019,Apr,"16,606","3,598,392",0.22,"441,266","184,289,296"
"Oranges, import value and volume history by market year (Fresh)",2019,May,"20,902","5,388,793",0.26,"441,266","184,289,296"
"Oranges, import value and volume history by market year (Fresh)",2019,Jun,"28,318","11,704,984",0.41,"441,266","184,289,296"
"Oranges, import value and volume history by market year (Fresh)",2019,Jul,"86,934","40,652,828",0.47,"441,266","184,289,296"
"Oranges, import value and volume history by market year (Fresh)",2019,Aug,"104,561","49,809,789",0.48,"441,266","184,289,296"
"Oranges, import value and volume history by market year (Fresh)",2019,Sep,"58,759","32,235,809",0.55,"441,266","184,289,296"
"Oranges, import value and volume history by market year (Fresh)",2019,Oct,"45,843","23,863,572",0.52,"441,266","184,289,296"
"Oranges, import value and volume history by market year (Fresh)",2018,Nov,"12,287","3,178,233",0.26,"424,967","163,029,518"
"Oranges, import value and volume history by market year (Fresh)",2018,Dec,"14,553","3,835,888",0.26,"424,967","163,029,518"
"Oranges, import value and volume history by market year (Fresh)",2018,Jan,"13,693","3,135,730",0.23,"424,967","163,029,518"
"Oranges, import value and volume history by market year (Fresh)",2018,Feb,"19,273","4,326,563",0.22,"424,967","163,029,518"
"Oranges, import value and volume history by market year (Fresh)",2018,Mar,"18,777","4,110,567",0.22,"424,967","163,029,518"
"Oranges, import value and volume history by market year (Fresh)",2018,Apr,"18,176","4,429,966",0.24,"424,967","163,029,518"
"Oranges, import value and volume history by market year (Fresh)",2018,May,"23,724","6,334,678",0.27,"424,967","163,029,518"
"Oranges, import value and volume history by market year (Fresh)",2018,Jun,"20,532","5,904,716",0.29,"424,967","163,029,518"
"Oranges, import value and volume history by market year (Fresh)",2018,Jul,"93,586","40,822,427",0.44,"424,967","163,029,518"
"Oranges, import value and volume history by market year (Fresh)",2018,Aug,"91,658","42,236,444",0.46,"424,967","163,029,518"
"Oranges, import value and volume history by market year (Fresh)",2018,Sep,"63,380","28,536,439",0.45,"424,967","163,029,518"
"Oranges, import value and volume history by market year (Fresh)",2018,Oct,"35,328","16,177,867",0.46,"424,967","163,029,518"
"Oranges, import value and volume history by market year (Fresh)",2017,Nov,"9,335","2,479,741",0.27,"488,647","207,820,429"
"Oranges, import value and volume history by market year (Fresh)",2017,Dec,"14,663","3,918,323",0.27,"488,647","207,820,429"
"Oranges, import value and volume history by market year (Fresh)",2017,Jan,"14,504","4,435,844",0.31,"488,647","207,820,429"
"Oranges, import value and volume history by market year (Fresh)",2017,Feb,"16,719","4,799,512",0.29,"488,647","207,820,429"
"Oranges, import value and volume history by market year (Fresh)",2017,Mar,"24,746","7,059,079",0.29,"488,647","207,820,429"
"Oranges, import value and volume history by market year (Fresh)",2017,Apr,"27,742","7,772,509",0.28,"488,647","207,820,429"
"Oranges, import value and volume history by market year (Fresh)",2017,May,"35,818","13,114,943",0.37,"488,647","207,820,429"
"Oranges, import value and volume history by market year (Fresh)",2017,Jun,"27,188","12,510,741",0.46,"488,647","207,820,429"
"Oranges, import value and volume history by market year (Fresh)",2017,Jul,"113,645","54,828,398",0.48,"488,647","207,820,429"
"Oranges, import value and volume history by market year (Fresh)",2017,Aug,"116,401","54,933,365",0.47,"488,647","207,820,429"
"Oranges, import value and volume history by market year (Fresh)",2017,Sep,"45,871","22,433,730",0.49,"488,647","207,820,429"
"Oranges, import value and volume history by market year (Fresh)",2017,Oct,"42,016","19,534,244",0.46,"488,647","207,820,429"
"Oranges, import value and volume history by market year (Fresh)",2016,Nov,"5,454","1,238,998",0.23,"402,520","159,879,748"
"Oranges, import value and volume history by market year (Fresh)",2016,Dec,"9,070","1,688,696",0.19,"402,520","159,879,748"
"Oranges, import value and volume history by market year (Fresh)",2016,Jan,"12,385","2,444,444",0.2,"402,520","159,879,748"
"Oranges, import value and volume history by market year (Fresh)",2016,Feb,"15,381","3,265,665",0.21,"402,520","159,879,748"
"Oranges, import value and volume history by market year (Fresh)",2016,Mar,"21,158","5,432,548",0.26,"402,520","159,879,748"
"Oranges, import value and volume history by market year (Fresh)",2016,Apr,"18,436","5,135,847",0.28,"402,520","159,879,748"
"Oranges, import value and volume history by market year (Fresh)",2016,May,"28,596","7,549,785",0.26,"402,520","159,879,748"
"Oranges, import value and volume history by market year (Fresh)",2016,Jun,"38,176","14,371,540",0.38,"402,520","159,879,748"
"Oranges, import value and volume history by market year (Fresh)",2016,Jul,"93,048","43,109,622",0.46,"402,520","159,879,748"
"Oranges, import value and volume history by market year (Fresh)",2016,Aug,"90,641","42,348,947",0.47,"402,520","159,879,748"
"Oranges, import value and volume history by market year (Fresh)",2016,Sep,"34,012","16,546,489",0.49,"402,520","159,879,748"
"Oranges, import value and volume history by market year (Fresh)",2016,Oct,"36,163","16,747,167",0.46,"402,520","159,879,748"
"Oranges, import value and volume history by market year (Fresh)",2015,Nov,"8,401","1,415,100",0.17,"361,670","140,738,162"
"Oranges, import value and volume history by market year (Fresh)",2015,Dec,"12,345","2,157,526",0.17,"361,670","140,738,162"
"Oranges, import value and volume history by market year (Fresh)",2015,Jan,"12,935","2,574,732",0.2,"361,670","140,738,162"
"Oranges, import value and volume history by market year (Fresh)",2015,Feb,"16,059","2,983,666",0.19,"361,670","140,738,162"
"Oranges, import value and volume history by market year (Fresh)",2015,Mar,"17,184","3,414,696",0.2,"361,670","140,738,162"
"Oranges, import value and volume history by market year (Fresh)",2015,Apr,"18,347","4,133,169",0.23,"361,670","140,738,162"
"Oranges, import value and volume history by market year (Fresh)",2015,May,"16,872","3,816,920",0.23,"361,670","140,738,162"
"Oranges, import value and volume history by market year (Fresh)",2015,Jun,"17,710","6,246,675",0.35,"361,670","140,738,162"
"Oranges, import value and volume history by market year (Fresh)",2015,Jul,"75,647","35,689,936",0.47,"361,670","140,738,162"
"Oranges, import value and volume history by market year (Fresh)",2015,Aug,"101,206","47,529,715",0.47,"361,670","140,738,162"
"Oranges, import value and volume history by market year (Fresh)",2015,Sep,"51,344","24,761,542",0.48,"361,670","140,738,162"
"Oranges, import value and volume history by market year (Fresh)",2015,Oct,"13,619","6,014,485",0.44,"361,670","140,738,162"
"Oranges, import value and volume history by market year (Fresh)",2014,Nov,"3,880","932,052",0.24,"341,662","139,392,788"
"Oranges, import value and volume history by market year (Fresh)",2014,Dec,"8,673","1,618,280",0.19,"341,662","139,392,788"
"Oranges, import value and volume history by market year (Fresh)",2014,Jan,"12,001","2,417,425",0.2,"341,662","139,392,788"
"Oranges, import value and volume history by market year (Fresh)",2014,Feb,"11,823","2,587,046",0.22,"341,662","139,392,788"
"Oranges, import value and volume history by market year (Fresh)",2014,Mar,"12,139","3,039,571",0.25,"341,662","139,392,788"
"Oranges, import value and volume history by market year (Fresh)",2014,Apr,"15,280","3,801,291",0.25,"341,662","139,392,788"
"Oranges, import value and volume history by market year (Fresh)",2014,May,"17,564","4,406,167",0.25,"341,662","139,392,788"
"Oranges, import value and volume history by market year (Fresh)",2014,Jun,"22,006","8,182,945",0.37,"341,662","139,392,788"
"Oranges, import value and volume history by market year (Fresh)",2014,Jul,"79,644","38,934,646",0.49,"341,662","139,392,788"
"Oranges, import value and volume history by market year (Fresh)",2014,Aug,"81,049","37,454,775",0.46,"341,662","139,392,788"
"Oranges, import value and volume history by market year (Fresh)",2014,Sep,"59,523","27,123,927",0.46,"341,662","139,392,788"
"Oranges, import value and volume history by market year (Fresh)",2014,Oct,"18,079","8,894,663",0.49,"341,662","139,392,788"
"Oranges, import value and volume history by market year (Fresh)",2013,Nov,"3,170","749,870",0.24,"315,396","128,752,148"
"Oranges, import value and volume history by market year (Fresh)",2013,Dec,"7,257","1,454,843",0.2,"315,396","128,752,148"
"Oranges, import value and volume history by market year (Fresh)",2013,Jan,"12,119","2,594,977",0.21,"315,396","128,752,148"
"Oranges, import value and volume history by market year (Fresh)",2013,Feb,"9,682","1,936,751",0.2,"315,396","128,752,148"
"Oranges, import value and volume history by market year (Fresh)",2013,Mar,"18,612","4,514,441",0.24,"315,396","128,752,148"
"Oranges, import value and volume history by market year (Fresh)",2013,Apr,"17,917","4,468,894",0.25,"315,396","128,752,148"
"Oranges, import value and volume history by market year (Fresh)",2013,May,"17,132","4,078,612",0.24,"315,396","128,752,148"
"Oranges, import value and volume history by market year (Fresh)",2013,Jun,"21,288","8,753,679",0.41,"315,396","128,752,148"
"Oranges, import value and volume history by market year (Fresh)",2013,Jul,"65,845","34,670,803",0.53,"315,396","128,752,148"
"Oranges, import value and volume history by market year (Fresh)",2013,Aug,"68,946","32,588,558",0.47,"315,396","128,752,148"
"Oranges, import value and volume history by market year (Fresh)",2013,Sep,"61,443","28,121,096",0.46,"315,396","128,752,148"
"Oranges, import value and volume history by market year (Fresh)",2013,Oct,"11,985","4,819,624",0.4,"315,396","128,752,148"
"Oranges, import value and volume history by market year (Fresh)",2012,Nov,"3,967","617,377",0.16,"307,265","151,235,313"
"Oranges, import value and volume history by market year (Fresh)",2012,Dec,"6,486","1,091,500",0.17,"307,265","151,235,313"
"Oranges, import value and volume history by market year (Fresh)",2012,Jan,"7,811","1,130,938",0.14,"307,265","151,235,313"
"Oranges, import value and volume history by market year (Fresh)",2012,Feb,"4,845","711,630",0.15,"307,265","151,235,313"
"Oranges, import value and volume history by market year (Fresh)",2012,Mar,"7,180","1,601,474",0.22,"307,265","151,235,313"
"Oranges, import value and volume history by market year (Fresh)",2012,Apr,"12,142","3,340,441",0.28,"307,265","151,235,313"
"Oranges, import value and volume history by market year (Fresh)",2012,May,"13,741","3,472,649",0.25,"307,265","151,235,313"
"Oranges, import value and volume history by market year (Fresh)",2012,Jun,"12,341","3,655,693",0.3,"307,265","151,235,313"
"Oranges, import value and volume history by market year (Fresh)",2012,Jul,"56,610","31,437,879",0.56,"307,265","151,235,313"
"Oranges, import value and volume history by market year (Fresh)",2012,Aug,"82,723","46,814,752",0.57,"307,265","151,235,313"
"Oranges, import value and volume history by market year (Fresh)",2012,Sep,"58,011","32,873,500",0.57,"307,265","151,235,313"
"Oranges, import value and volume history by market year (Fresh)",2012,Oct,"41,409","24,487,480",0.59,"307,265","151,235,313"
"Oranges, import value and volume history by market year (Fresh)",2011,Nov,"6,614","3,115,780",0.47,"262,596","109,735,130"
"Oranges, import value and volume history by market year (Fresh)",2011,Dec,"4,071","935,268",0.23,"262,596","109,735,130"
"Oranges, import value and volume history by market year (Fresh)",2011,Jan,"7,679","1,558,701",0.2,"262,596","109,735,130"
"Oranges, import value and volume history by market year (Fresh)",2011,Feb,"4,313","864,763",0.2,"262,596","109,735,130"
"Oranges, import value and volume history by market year (Fresh)",2011,Mar,"3,491","859,697",0.25,"262,596","109,735,130"
"Oranges, import value and volume history by market year (Fresh)",2011,Apr,"4,471","1,083,098",0.24,"262,596","109,735,130"
"Oranges, import value and volume history by market year (Fresh)",2011,May,"7,584","1,806,481",0.24,"262,596","109,735,130"
"Oranges, import value and volume history by market year (Fresh)",2011,Jun,"8,252","2,570,450",0.31,"262,596","109,735,130"
"Oranges, import value and volume history by market year (Fresh)",2011,Jul,"56,395","27,163,346",0.48,"262,596","109,735,130"
"Oranges, import value and volume history by market year (Fresh)",2011,Aug,"80,433","35,159,263",0.44,"262,596","109,735,130"
"Oranges, import value and volume history by market year (Fresh)",2011,Sep,"57,081","24,856,697",0.44,"262,596","109,735,130"
"Oranges, import value and volume history by market year (Fresh)",2011,Oct,"22,213","9,761,586",0.44,"262,596","109,735,130"
"Oranges, import value and volume history by market year (Fresh)",2010,Nov,"2,956","1,284,987",0.43,"223,995","94,304,894"
"Oranges, import value and volume history by market year (Fresh)",2010,Dec,"1,508","413,715",0.27,"223,995","94,304,894"
"Oranges, import value and volume history by market year (Fresh)",2010,Jan,"4,059","1,002,961",0.25,"223,995","94,304,894"
"Oranges, import value and volume history by market year (Fresh)",2010,Feb,"4,905","1,160,015",0.24,"223,995","94,304,894"
"Oranges, import value and volume history by market year (Fresh)",2010,Mar,"4,162","1,194,073",0.29,"223,995","94,304,894"
"Oranges, import value and volume history by market year (Fresh)",2010,Apr,"2,544","537,374",0.21,"223,995","94,304,894"
"Oranges, import value and volume history by market year (Fresh)",2010,May,"5,645","1,277,688",0.23,"223,995","94,304,894"
"Oranges, import value and volume history by market year (Fresh)",2010,Jun,"8,109","2,741,114",0.34,"223,995","94,304,894"
"Oranges, import value and volume history by market year (Fresh)",2010,Jul,"30,099","14,177,329",0.47,"223,995","94,304,894"
"Oranges, import value and volume history by market year (Fresh)",2010,Aug,"76,746","33,474,775",0.44,"223,995","94,304,894"
"Oranges, import value and volume history by market year (Fresh)",2010,Sep,"33,703","14,502,031",0.43,"223,995","94,304,894"
"Oranges, import value and volume history by market year (Fresh)",2010,Oct,"49,557","22,538,832",0.45,"223,995","94,304,894"
"Oranges, import value and volume history by market year (Fresh)",2009,Nov,"2,269","680,815",0.3,"233,389","99,779,884"
"Oranges, import value and volume history by market year (Fresh)",2009,Dec,"8,296","2,104,849",0.25,"233,389","99,779,884"
"Oranges, import value and volume history by market year (Fresh)",2009,Jan,"8,828","1,963,004",0.22,"233,389","99,779,884"
"Oranges, import value and volume history by market year (Fresh)",2009,Feb,"7,117","1,704,010",0.24,"233,389","99,779,884"
"Oranges, import value and volume history by market year (Fresh)",2009,Mar,"9,211","2,215,872",0.24,"233,389","99,779,884"
"Oranges, import value and volume history by market year (Fresh)",2009,Apr,"6,021","1,350,518",0.22,"233,389","99,779,884"
"Oranges, import value and volume history by market year (Fresh)",2009,May,"5,636","1,291,164",0.23,"233,389","99,779,884"
"Oranges, import value and volume history by market year (Fresh)",2009,Jun,"8,342","3,748,753",0.45,"233,389","99,779,884"
"Oranges, import value and volume history by market year (Fresh)",2009,Jul,"33,746","18,345,584",0.54,"233,389","99,779,884"
"Oranges, import value and volume history by market year (Fresh)",2009,Aug,"74,189","34,380,639",0.46,"233,389","99,779,884"
"Oranges, import value and volume history by market year (Fresh)",2009,Sep,"40,995","18,605,725",0.45,"233,389","99,779,884"
"Oranges, import value and volume history by market year (Fresh)",2009,Oct,"28,739","13,388,951",0.47,"233,389","99,779,884"
"Oranges, import value and volume history by market year (Fresh)",2008,Nov,511,"130,833",0.26,"198,094","90,708,534"
"Oranges, import value and volume history by market year (Fresh)",2008,Dec,"1,908","450,118",0.24,"198,094","90,708,534"
"Oranges, import value and volume history by market year (Fresh)",2008,Jan,"2,836","683,358",0.24,"198,094","90,708,534"
"Oranges, import value and volume history by market year (Fresh)",2008,Feb,"4,889","1,166,512",0.24,"198,094","90,708,534"
"Oranges, import value and volume history by market year (Fresh)",2008,Mar,"8,518","2,118,579",0.25,"198,094","90,708,534"
"Oranges, import value and volume history by market year (Fresh)",2008,Apr,"9,098","1,698,045",0.19,"198,094","90,708,534"
"Oranges, import value and volume history by market year (Fresh)",2008,May,"5,855","1,023,010",0.17,"198,094","90,708,534"
"Oranges, import value and volume history by market year (Fresh)",2008,Jun,"9,746","3,737,604",0.38,"198,094","90,708,534"
"Oranges, import value and volume history by market year (Fresh)",2008,Jul,"33,081","16,585,005",0.5,"198,094","90,708,534"
"Oranges, import value and volume history by market year (Fresh)",2008,Aug,"59,838","30,744,763",0.51,"198,094","90,708,534"
"Oranges, import value and volume history by market year (Fresh)",2008,Sep,"43,400","23,221,756",0.54,"198,094","90,708,534"
"Oranges, import value and volume history by market year (Fresh)",2008,Oct,"18,413","9,148,951",0.5,"198,094","90,708,534"
"Oranges, import value and volume history by market year (Fresh)",2007,Nov,446,"149,726",0.34,"169,577","71,320,000"
"Oranges, import value and volume history by market year (Fresh)",2007,Dec,"2,636","471,481",0.18,"169,577","71,320,000"
"Oranges, import value and volume history by market year (Fresh)",2007,Jan,"6,360","1,521,603",0.24,"169,577","71,320,000"
"Oranges, import value and volume history by market year (Fresh)",2007,Feb,"4,771","1,351,094",0.28,"169,577","71,320,000"
"Oranges, import value and volume history by market year (Fresh)",2007,Mar,"4,172","1,307,422",0.31,"169,577","71,320,000"
"Oranges, import value and volume history by market year (Fresh)",2007,Apr,"6,517","1,324,468",0.2,"169,577","71,320,000"
"Oranges, import value and volume history by market year (Fresh)",2007,May,"6,462","1,293,065",0.2,"169,577","71,320,000"
"Oranges, import value and volume history by market year (Fresh)",2007,Jun,"4,782","1,114,002",0.23,"169,577","71,320,000"
"Oranges, import value and volume history by market year (Fresh)",2007,Jul,"29,731","12,918,826",0.43,"169,577","71,320,000"
"Oranges, import value and volume history by market year (Fresh)",2007,Aug,"39,806","18,801,253",0.47,"169,577","71,320,000"
"Oranges, import value and volume history by market year (Fresh)",2007,Sep,"43,954","21,297,322",0.48,"169,577","71,320,000"
"Oranges, import value and volume history by market year (Fresh)",2007,Oct,"19,939","9,769,738",0.49,"169,577","71,320,000"
"Oranges, import value and volume history by market year (Fresh)",2006,Nov,"1,585","482,543",0.3,"256,519","122,554,234"
"Oranges, import value and volume history by market year (Fresh)",2006,Dec,"4,237","1,195,347",0.28,"256,519","122,554,234"
"Oranges, import value and volume history by market year (Fresh)",2006,Jan,"8,701","3,263,293",0.38,"256,519","122,554,234"
"Oranges, import value and volume history by market year (Fresh)",2006,Feb,"15,861","7,622,060",0.48,"256,519","122,554,234"
"Oranges, import value and volume history by market year (Fresh)",2006,Mar,"40,643","16,881,071",0.42,"256,519","122,554,234"
"Oranges, import value and volume history by market year (Fresh)",2006,Apr,"25,699","10,445,321",0.41,"256,519","122,554,234"
"Oranges, import value and volume history by market year (Fresh)",2006,May,"12,480","4,723,957",0.38,"256,519","122,554,234"
"Oranges, import value and volume history by market year (Fresh)",2006,Jun,"16,402","6,478,884",0.4,"256,519","122,554,234"
"Oranges, import value and volume history by market year (Fresh)",2006,Jul,"38,075","19,521,405",0.51,"256,519","122,554,234"
"Oranges, import value and volume history by market year (Fresh)",2006,Aug,"44,381","24,780,804",0.56,"256,519","122,554,234"
"Oranges, import value and volume history by market year (Fresh)",2006,Sep,"19,446","11,261,971",0.58,"256,519","122,554,234"
"Oranges, import value and volume history by market year (Fresh)",2006,Oct,"29,009","15,897,578",0.55,"256,519","122,554,234"
"Oranges, import value and volume history by market year (Fresh)",2005,Nov,689,"198,716",0.29,"158,237","79,437,685"
"Oranges, import value and volume history by market year (Fresh)",2005,Dec,"1,136","304,611",0.27,"158,237","79,437,685"
"Oranges, import value and volume history by market year (Fresh)",2005,Jan,"2,953","798,436",0.27,"158,237","79,437,685"
"Oranges, import value and volume history by market year (Fresh)",2005,Feb,"2,976","918,452",0.31,"158,237","79,437,685"
"Oranges, import value and volume history by market year (Fresh)",2005,Mar,"4,671","1,314,370",0.28,"158,237","79,437,685"
"Oranges, import value and volume history by market year (Fresh)",2005,Apr,"4,014","1,104,210",0.28,"158,237","79,437,685"
"Oranges, import value and volume history by market year (Fresh)",2005,May,"3,354","893,215",0.27,"158,237","79,437,685"
"Oranges, import value and volume history by market year (Fresh)",2005,Jun,"8,107","3,433,480",0.42,"158,237","79,437,685"
"Oranges, import value and volume history by market year (Fresh)",2005,Jul,"36,844","20,418,191",0.55,"158,237","79,437,685"
"Oranges, import value and volume history by market year (Fresh)",2005,Aug,"43,541","22,778,333",0.52,"158,237","79,437,685"
"Oranges, import value and volume history by market year (Fresh)",2005,Sep,"30,307","15,980,858",0.53,"158,237","79,437,685"
"Oranges, import value and volume history by market year (Fresh)",2005,Oct,"19,646","11,294,813",0.57,"158,237","79,437,685"
"Oranges, import value and volume history by market year (Fresh)",2004,Nov,"2,360","667,975",0.28,"156,750","69,427,590"
"Oranges, import value and volume history by market year (Fresh)",2004,Dec,"4,019","808,232",0.2,"156,750","69,427,590"
"Oranges, import value and volume history by market year (Fresh)",2004,Jan,"3,344","697,034",0.21,"156,750","69,427,590"
"Oranges, import value and volume history by market year (Fresh)",2004,Feb,"3,584","1,079,723",0.3,"156,750","69,427,590"
"Oranges, import value and volume history by market year (Fresh)",2004,Mar,"6,625","2,213,104",0.33,"156,750","69,427,590"
"Oranges, import value and volume history by market year (Fresh)",2004,Apr,"6,502","1,591,542",0.24,"156,750","69,427,590"
"Oranges, import value and volume history by market year (Fresh)",2004,May,"3,509","642,866",0.18,"156,750","69,427,590"
"Oranges, import value and volume history by market year (Fresh)",2004,Jun,"5,557","1,822,716",0.33,"156,750","69,427,590"
"Oranges, import value and volume history by market year (Fresh)",2004,Jul,"28,378","13,275,836",0.47,"156,750","69,427,590"
"Oranges, import value and volume history by market year (Fresh)",2004,Aug,"38,666","20,092,001",0.52,"156,750","69,427,590"
"Oranges, import value and volume history by market year (Fresh)",2004,Sep,"30,004","14,645,776",0.49,"156,750","69,427,590"
"Oranges, import value and volume history by market year (Fresh)",2004,Oct,"24,201","11,890,785",0.49,"156,750","69,427,590"
