Unnamed: 0,Date,Total Production,Year,Translated Predicted Production,Beginning Stock,Total Predicted Supply,Actual Supply,Predicted Demand,Actual Demand,Predicted Ending Stock,Actual Ending Stock,Predicted Close Price,Price
0,2010-01-31,220567.0,2010,1149.825129860803,679.327002924768,1829.1521327855708,1847.5041791230717,1309.0617666532562,1290.0173900838447,520.0903661323146,557.4867890392268,116.923778711035,137.2
1,2010-02-28,224360.0,2010,1163.9527172659982,679.327002924768,1843.279720190766,1847.5041791230717,1309.0617666532562,1290.0173900838447,534.2179535375099,557.4867890392268,115.66338792487949,150.6
2,2010-03-31,235117.0,2010,1204.0187488287938,679.327002924768,1883.3457517535617,1847.5041791230717,1309.0617666532562,1290.0173900838447,574.2839851003055,557.4867890392268,112.42621686308192,135.3
3,2010-04-30,256833.0,2010,1284.9031907194394,679.327002924768,1964.2301936442072,1847.5041791230717,1309.0617666532562,1290.0173900838447,655.168426990951,557.4867890392268,107.09753450483396,134.35
4,2010-05-31,232125.0,2010,1192.874603952352,679.327002924768,1872.20160687712,1847.5041791230717,1309.0617666532562,1290.0173900838447,563.1398402238638,557.4867890392268,113.28037502675188,138.95
5,2010-06-30,234635.0,2010,1202.2234688052497,679.327002924768,1881.5504717300173,1847.5041791230717,1309.0617666532562,1290.0173900838447,572.4887050767611,557.4867890392268,112.56157148050966,148.25
6,2010-07-31,216244.0,2010,1133.7234793591792,679.327002924768,1813.050482283947,1847.5041791230717,1309.0617666532562,1290.0173900838447,503.9887156306909,557.4867890392268,118.44644691573971,146.6
11,2010-12-31,238620.0,2011,1217.066188501981,557.4867890392268,1774.5529775412078,1741.942973208708,1309.4168587310633,1350.6782260538196,465.1361188101446,391.2647471548885,122.55466679116157,172.35
12,2011-01-31,227355.0,2011,1175.108036084495,557.4867890392268,1732.594825123722,1741.942973208708,1309.4168587310633,1350.6782260538196,423.1779663926589,391.2647471548885,127.83848357029092,168.55
13,2011-02-28,223750.0,2011,1161.6806823814295,557.4867890392268,1719.1674714206565,1741.942973208708,1309.4168587310633,1350.6782260538196,409.750612689593,391.2647471548885,129.75795775563554,179.95
14,2011-03-31,236498.0,2011,1209.162486821563,557.4867890392268,1766.64927586079,1741.942973208708,1309.4168587310633,1350.6782260538196,457.23241712972685,391.2647471548885,123.4758541437546,162.8
15,2011-04-30,240820.0,2011,1225.2604126758354,557.4867890392268,1782.747201715062,1741.942973208708,1309.4168587310633,1350.6782260538196,473.3303429839989,391.2647471548885,121.63209974918938,176.55
16,2011-05-31,231972.0,2011,1192.304732907534,557.4867890392268,1749.791521946761,1741.942973208708,1309.4168587310633,1350.6782260538196,440.3746632156974,391.2647471548885,125.5511254312461,182.5
17,2011-06-30,224857.0,2011,1165.8038669998189,557.4867890392268,1723.2906560390456,1741.942973208708,1309.4168587310633,1350.6782260538196,413.8737973079824,391.2647471548885,129.1552875203356,198.6
18,2011-07-31,227107.0,2011,1174.1843235412607,557.4867890392268,1731.6711125804875,1741.942973208708,1309.4168587310633,1350.6782260538196,422.2542538494242,391.2647471548885,127.9666204858661,200.7
23,2011-12-31,245028.0,2012,1240.9337287320077,391.2647471548885,1632.1984758868962,1574.0740051440669,1334.059449424935,1125.1880752156394,298.13902646196084,448.8859299284274,152.4046795554326,169.0
24,2012-01-31,260714.0,2012,1299.358547091589,391.2647471548885,1690.6232942464774,1574.0740051440669,1334.059449424935,1125.1880752156394,356.56384482154203,448.8859299284274,138.78158587439995,210.0
25,2012-02-29,270796.0,2012,1336.9104416919522,391.2647471548885,1728.175188846841,1574.0740051440669,1334.059449424935,1125.1880752156394,394.11573942190535,448.8859299284274,132.15781539430657,190.55
26,2012-03-31,255959.0,2012,1281.6478489340084,391.2647471548885,1672.9125960888969,1574.0740051440669,1334.059449424935,1125.1880752156394,338.8531466639615,448.8859299284274,142.41505404215962,164.5
27,2012-04-30,265174.0,2012,1315.9704742804026,391.2647471548885,1707.2352214352911,1574.0740051440669,1334.059449424935,1125.1880752156394,373.1757720103558,448.8859299284274,135.6869911544165,140.85
28,2012-05-31,252529.0,2012,1268.872308517499,391.2647471548885,1660.1370556723875,1574.0740051440669,1334.059449424935,1125.1880752156394,326.0776062474522,448.8859299284274,145.28108771417274,112.05
29,2012-06-30,241947.0,2012,1229.45809024126,391.2647471548885,1620.7228373961484,1574.0740051440669,1334.059449424935,1125.1880752156394,286.66338797121307,448.8859299284274,155.73296300587836,122.65
30,2012-07-31,227022.0,2012,1173.8677285163617,391.2647471548885,1565.1324756712502,1574.0740051440669,1334.059449424935,1125.1880752156394,231.07302624631484,448.8859299284274,176.53531898187487,109.9
35,2012-12-31,247891.0,2013,1251.5973941000734,448.8859299284274,1700.4833240285009,1716.7523800546417,1090.4652489162297,1182.6018529283324,610.0180751122714,534.1505271263093,109.89780497614063,116.05
36,2013-01-31,256964.0,2013,1285.3911195225191,448.8859299284274,1734.2770494509466,1716.7523800546417,1090.4652489162297,1182.6018529283324,643.8118005347171,534.1505271263093,107.76491260837558,119.7
37,2013-02-28,256054.0,2013,1282.0016904324248,448.8859299284274,1730.8876203608522,1716.7523800546417,1090.4652489162297,1182.6018529283324,640.4223714446227,534.1505271263093,107.9686804431741,127.15
38,2013-03-31,285121.0,2013,1390.2660150057989,448.8859299284274,1839.1519449342263,1716.7523800546417,1090.4652489162297,1182.6018529283324,748.6866960179968,534.1505271263093,102.37170674755946,133.95
39,2013-04-30,246519.0,2013,1246.48717793347,448.8859299284274,1695.373107861897,1716.7523800546417,1090.4652489162297,1182.6018529283324,604.9078589456678,534.1505271263093,110.24107971581606,141.4
40,2013-05-31,259446.0,2013,1294.6356942495672,448.8859299284274,1743.521624177995,1716.7523800546417,1090.4652489162297,1182.6018529283324,653.0563752617652,534.1505271263093,107.21989336494045,151.35
41,2013-06-30,221598.0,2013,1153.6652412804592,448.8859299284274,1602.551171208887,1716.7523800546417,1090.4652489162297,1182.6018529283324,512.0859222926572,534.1505271263093,117.66875769465376,132.0
42,2013-07-31,233362.0,2013,1197.4819927264691,448.8859299284274,1646.3679226548968,1716.7523800546417,1090.4652489162297,1182.6018529283324,555.9026737386673,534.1505271263093,113.85341913608596,143.9
47,2013-12-31,217241.0,2014,1137.436952768876,534.1505271263093,1671.5874798951852,1614.5529284127954,1051.41301160711,1131.7491149224024,620.1744682880753,482.8038134903928,109.23235192016932,136.45
48,2014-01-31,208283.0,2014,1104.0715617918818,534.1505271263093,1638.222088918191,1614.5529284127954,1051.41301160711,1131.7491149224024,586.8090773110812,482.8038134903928,111.50493630027307,142.55
49,2014-02-28,204146.0,2014,1088.6626956976838,534.1505271263093,1622.813222823993,1614.5529284127954,1051.41301160711,1131.7491149224024,571.4002112168832,482.8038134903928,112.64405233843875,147.75
50,2014-03-31,274907.0,2014,1352.2224669550044,534.1505271263093,1886.3729940813137,1614.5529284127954,1051.41301160711,1131.7491149224024,834.9599824742038,482.8038134903928,98.9507697948738,155.0
51,2014-04-30,208081.0,2014,1103.319183026828,534.1505271263093,1637.4697101531372,1614.5529284127954,1051.41301160711,1131.7491149224024,586.0566985460273,482.8038134903928,111.55916567256044,154.6
52,2014-05-31,250455.0,2014,1261.1473899099656,534.1505271263093,1795.2979170362748,1614.5529284127954,1051.41301160711,1131.7491149224024,743.884905429165,482.8038134903928,102.5854201995358,159.4
53,2014-06-30,188611.0,2014,1030.8002990882171,534.1505271263093,1564.9508262145266,1614.5529284127954,1051.41301160711,1131.7491149224024,513.5378146074167,482.8038134903928,117.5319049076246,140.8
54,2014-07-31,174259.0,2014,977.344160295873,534.1505271263093,1511.4946874221823,1614.5529284127954,1051.41301160711,1131.7491149224024,460.08167581507246,482.8038134903928,123.14012083082736,140.7
59,2014-12-31,213191.0,2015,1122.3521309942803,482.8038134903928,1605.155944484673,1534.1729706938404,1153.0740540622207,1035.5357061461905,452.08189042245226,498.63726454765015,124.09348932334603,140.05
60,2015-01-31,194256.0,2015,1051.825933388857,482.8038134903928,1534.62974687925,1534.1729706938404,1153.0740540622207,1035.5357061461905,381.5556928170293,498.63726454765015,134.22816667526655,140.0
