name,datetime,tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,preciptype,windspeed,sealevelpressure,uvindex
sao paulo,2023-01-01,81.7,64,72,80.2,0,0,0,rain,11.8,1017.5,7
sao paulo,2023-01-02,85.2,66.6,74.3,72.1,0,0,0,rain,12.3,1014.5,8
sao paulo,2023-01-03,79.7,69.7,73.4,77.2,0.044,100,8.33,rain,12.8,1012.3,6
sao paulo,2023-01-04,76.2,62.6,69.5,87.2,0.591,100,8.33,rain,13.6,1012.3,5
sao paulo,2023-01-05,65.4,60.8,62.9,95.4,0.032,100,8.33,rain,12.3,1015.6,2
sao paulo,2023-01-06,64.4,59.7,61.7,87.7,0.043,100,8.33,rain,13.1,1019.6,3
sao paulo,2023-01-07,65.2,60.8,62.7,88.5,0,0,0,rain,11.3,1021,2
sao paulo,2023-01-08,70.9,60.9,65.9,88.2,0,0,0,rain,12.2,1019.7,5
sao paulo,2023-01-09,70.8,62.6,66.1,90.4,0.012,100,4.17,rain,10.1,1018.1,2
sao paulo,2023-01-10,77,64.5,68.9,89.8,0.394,100,8.33,rain,8.4,1017.1,5
sao paulo,2023-01-11,78.8,66.3,71.3,84.9,0.157,100,4.17,rain,10.3,1016.3,5
sao paulo,2023-01-12,80.8,66.2,72.4,80.3,0.496,100,8.33,rain,11.8,1013.8,6
sao paulo,2023-01-13,82.1,66.2,74.5,78.9,0.142,100,8.33,rain,14.7,1013.6,7
sao paulo,2023-01-14,81.7,68,74.5,76.7,0.409,100,4.17,rain,14.6,1015.3,6
sao paulo,2023-01-15,87.8,69.7,76.8,76,1.063,100,4.17,rain,14.3,1017.1,8
sao paulo,2023-01-16,86.8,67.9,75.6,80.3,0.024,100,4.17,rain,16.1,1016.7,7
sao paulo,2023-01-17,85.9,69.7,76,78.3,0.039,100,4.17,rain,13.1,1017.8,7
sao paulo,2023-01-18,86,67.9,73.4,82.4,0,0,0,rain,14.6,1019.2,7
sao paulo,2023-01-19,85.2,65.8,73,79.1,0,0,0,rain,18.4,1018.3,7
sao paulo,2023-01-20,75.4,66.9,70.2,85.4,0.165,100,8.33,rain,8.7,1015.2,4
sao paulo,2023-01-21,82.4,65,72.6,78.7,0,0,0,rain,11.7,1012.2,7
sao paulo,2023-01-22,84.9,69.7,76.3,69.7,0,0,0,,14.8,1011.5,8
sao paulo,2023-01-23,81.4,70.5,74.2,77.8,0.146,100,8.33,rain,13.9,1012.8,6
sao paulo,2023-01-24,84.2,68,73.2,81.2,0,0,0,rain,13.3,1012.8,6
sao paulo,2023-01-25,83.4,65.2,73.7,74.7,0,0,0,,12.9,1014.6,7
sao paulo,2023-01-26,84.5,64.3,73,56.3,0,0,0,,14.8,1015.4,8
sao paulo,2023-01-27,82.7,64.4,71.9,72.8,0,0,0,,14.1,1016.3,7
sao paulo,2023-01-28,84.9,68.7,73.8,77.2,0,0,0,rain,15.7,1017.2,6
sao paulo,2023-01-29,84.9,68.7,74.1,82,0,0,0,rain,16.2,1015.7,9
sao paulo,2023-01-30,81.6,68,73.7,77.3,0.315,100,4.17,rain,13.6,1014.3,6
sao paulo,2023-01-31,83.4,68.7,74.3,77.6,0.669,100,8.33,rain,12,1015.1,6
sao paulo,2023-02-01,81.8,68,73.9,79.1,0.748,100,8.33,rain,13.4,1016.4,6
sao paulo,2023-02-02,86,68.8,76.3,73.2,0,0,0,rain,16.6,1016.3,7
sao paulo,2023-02-03,81.4,68.1,74,76.8,0.236,100,4.17,rain,17.5,1015.5,6
sao paulo,2023-02-04,79.8,68.1,73.6,78.2,0.012,100,4.17,rain,19.3,1015.6,5
sao paulo,2023-02-05,82.1,70.4,75,79.7,0.188,100,12.5,rain,14.3,1016,6
sao paulo,2023-02-06,79.9,67.6,72.7,84.4,0.197,100,4.17,rain,10.1,1016.1,5
sao paulo,2023-02-07,79.4,67,70.9,87.7,2.283,100,8.33,rain,13.1,1016.9,6
sao paulo,2023-02-08,78.8,66.3,71.6,80.7,0,0,0,rain,13.4,1016.5,7
sao paulo,2023-02-09,84.2,65.4,72.8,79.1,0,0,0,,12.2,1016.7,7
sao paulo,2023-02-10,84.2,67.6,73.7,79.1,0.07,100,8.33,rain,12,1016.6,7
sao paulo,2023-02-11,77,67.9,70.5,86.9,0.236,100,8.33,rain,9.2,1016.9,4
sao paulo,2023-02-12,80.6,67,71.3,85.5,2.047,100,8.33,rain,10.2,1015.8,7
sao paulo,2023-02-13,82.4,66.3,73,81,0.169,100,8.33,rain,11.7,1015.8,6
