name,datetime,tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,preciptype,windspeed,sealevelpressure,uvindex
sao paulo,2021-01-01,80.6,68.1,71.1,81.5,0,0,0,,10.2,1016.6,7
sao paulo,2021-01-02,74.4,66.2,69.3,81.7,0,0,0,,11.9,1016.4,4
sao paulo,2021-01-03,77.3,62.7,69.4,74.6,0,0,0,,15.9,1015.4,8
sao paulo,2021-01-04,82.4,64.5,71.7,69.8,0,0,0,,10.7,1015.2,9
sao paulo,2021-01-05,85.8,67,76.3,66.2,0,0,0,,12.1,1015.2,9
sao paulo,2021-01-06,87.9,71.5,78.6,64.5,0,0,0,,14.9,1014.8,8
sao paulo,2021-01-07,86.1,71.5,77.2,67.5,0.039,100,4.17,rain,17.6,1014.1,8
sao paulo,2021-01-08,83.4,69.7,73.8,74.8,0.157,100,4.17,rain,12.4,1014.9,7
sao paulo,2021-01-09,80.6,69.9,73.3,80,0,0,0,,13.5,1014.7,5
sao paulo,2021-01-10,83.4,69.8,74,79.9,1.102,100,8.33,rain,9.1,1015.4,7
sao paulo,2021-01-11,85.1,71.6,76.1,75.9,0,0,0,,12.3,1015,6
sao paulo,2021-01-12,83.8,71.5,75.9,78.3,0.984,100,8.33,rain,9,1014.9,6
sao paulo,2021-01-13,81.6,71.6,75,77.9,0,0,0,,15.7,1015.9,7
sao paulo,2021-01-14,81.5,69.7,73.5,77.7,0.709,100,4.17,rain,14.7,1016.6,7
sao paulo,2021-01-15,79.1,66.3,70.3,82.6,0.551,100,8.33,rain,8.8,1016.1,6
sao paulo,2021-01-16,83.4,66.2,74.8,69.6,0,0,0,,11.4,1013.9,8
sao paulo,2021-01-17,85.3,73.3,77.5,61.9,0,0,0,,16.9,1013.3,7
sao paulo,2021-01-18,87.6,71.6,77.3,67.6,0.039,100,4.17,rain,12.5,1014.1,9
sao paulo,2021-01-19,83,69.9,73.6,79.6,0.433,100,4.17,rain,11.2,1016.8,7
sao paulo,2021-01-20,85.2,69.6,74.6,75.4,0,0,0,,11.6,1017.3,8
sao paulo,2021-01-21,84.2,67.8,73.8,73.8,0,0,0,,15.1,1018.6,9
sao paulo,2021-01-22,86,67.9,74.2,71.8,0,0,0,,12.6,1020.4,7
sao paulo,2021-01-23,86.2,68,73.9,73.1,0,0,0,,11.2,1019.3,9
sao paulo,2021-01-24,83.4,67.9,73.1,76.3,0.118,100,8.33,rain,11.4,1017.4,7
sao paulo,2021-01-25,87,67.3,75.4,70.3,1.102,100,4.17,rain,12.7,1015.3,9
sao paulo,2021-01-26,85.2,68,75.2,70.5,0.354,100,4.17,rain,11.4,1015.6,8
sao paulo,2021-01-27,87.8,69.4,79.6,58.5,0,0,0,,16.5,1014.7,8
sao paulo,2021-01-28,86.8,66.2,77.3,61.8,0,0,0,,25.1,1014,9
sao paulo,2021-01-29,87.7,70.5,79.3,56.1,0,0,0,,11.4,1014.5,7
sao paulo,2021-01-30,90.6,71.7,80.8,58.7,0,0,0,,13.2,1015.8,9
sao paulo,2021-01-31,87.8,73,80.3,60.4,0,0,0,,10.2,1015.4,9
sao paulo,2021-02-01,85.2,71.5,76.2,66,0.157,100,4.17,rain,15.8,1015.3,6
sao paulo,2021-02-02,87,69.7,75.4,70.8,0.039,100,4.17,rain,9.4,1015.8,9
sao paulo,2021-02-03,90.5,68.6,76.9,69.6,0.079,100,4.17,rain,11.9,1016.1,9
sao paulo,2021-02-04,87.9,69.7,79.5,70.2,0,0,0,,18.1,1012,8
